president,bucket,row_id,row_type,source_title,source_date,url,fit,recommended_use,notes
"Dwight D. Eisenhower","Voting Rights / Civil Rights / Federal Enforcement",153,"action","Civil Rights Act of 1957","1957","https://www.eisenhowerlibrary.gov/research/online-documents/civil-rights-act-1957","high","direct_attach","Best official library source for Eisenhower proposing federal civil-rights legislation."
"Dwight D. Eisenhower","Voting Rights / Civil Rights / Federal Enforcement",154,"action","Civil Rights Act of 1957","1957","https://www.eisenhowerlibrary.gov/research/online-documents/civil-rights-act-1957","high","direct_attach","Best direct source for Eisenhower signing the Civil Rights Act of 1957."
"Dwight D. Eisenhower","Voting Rights / Civil Rights / Federal Enforcement",67,"outcome","Civil Rights Act of 1957","1957","https://www.eisenhowerlibrary.gov/research/online-documents/civil-rights-act-1957","high","direct_attach","Best single source for the law’s creation of new enforcement machinery and voting-rights tools."
"Franklin D. Roosevelt","Economic Policy / Social Insurance",143,"action","Message to Congress on Social Security","1935-01-17","https://www.presidency.ucsb.edu/documents/message-congress-social-security","high","direct_attach","Direct source for Roosevelt asking Congress for economic security legislation."
"Franklin D. Roosevelt","Workers / Wages / Economic Security",141,"action","Message to Congress on Establishing Minimum Wages and Maximum Hours","1937-05-24","https://www.presidency.ucsb.edu/documents/message-congress-establishing-minimum-wages-and-maximum-hours","high","direct_attach","Direct source for Roosevelt urging national wages-and-hours legislation."
"George W. Bush","Voting Rights / Civil Rights / Federal Enforcement",174,"action","Fact Sheet: Voting Rights Act Reauthorization and Amendments Act of 2006","2006-07-27","https://georgewbush-whitehouse.archives.gov/news/releases/2006/07/text/20060727-1.html","high","direct_attach","Best direct source for administration support and commitment to vigorous enforcement."
"George W. Bush","Voting Rights / Civil Rights / Federal Enforcement",175,"action","President Bush Signs Voting Rights Act Reauthorization and Amendments Act of 2006","2006-07-27","https://georgewbush-whitehouse.archives.gov/news/releases/2006/07/text/20060727.html","high","direct_attach","Direct source for Bush signing the 2006 reauthorization."
"George W. Bush","Voting Rights / Civil Rights / Federal Enforcement",76,"outcome","Fact Sheet: Voting Rights Act Reauthorization and Amendments Act of 2006","2006-07-27","https://georgewbush-whitehouse.archives.gov/news/releases/2006/07/text/20060727-1.html","high","direct_attach","Best single source for preservation of core VRA protections through reauthorization."
"Harry S. Truman","Civil Rights / Military / Federal Enforcement",164,"action","Special Message to the Congress on Civil Rights","1948-02-02","https://www.trumanlibrary.gov/library/public-papers/20/special-message-congress-civil-rights","high","direct_attach","Direct source for Truman asking Congress for a stronger civil-rights program."
"Harry S. Truman","Civil Rights / Military / Federal Enforcement",165,"action","Executive Order 9981","1948-07-26","https://www.trumanlibrary.gov/library/executive-orders/9981/executive-order-9981","high","direct_attach","Direct source for Truman issuing EO 9981."
"Harry S. Truman","Civil Rights / Military / Federal Enforcement",166,"action","Executive Order 9981","1948-07-26","https://www.trumanlibrary.gov/library/executive-orders/9981/executive-order-9981","high","direct_attach","The order itself creates the President's Committee on Equality of Treatment and Opportunity in the Armed Services."
"Harry S. Truman","Civil Rights / Military / Federal Enforcement",72,"outcome","Freedom to Serve","1950-05-22","https://www.trumanlibrary.gov/library/freedom-to-serve","high","direct_attach","Best implementation/outcome source for the desegregation process launched by EO 9981."
"Jimmy Carter","Housing / Banking / Civil Rights",171,"action","Remarks on Signing Into Law the Housing and Community Development Act of 1977","1977-10-12","https://www.presidency.ucsb.edu/documents/remarks-signing-into-law-the-housing-and-community-development-act-1977","medium","direct_attach","Best direct Carter-era signing source tied to the 1977 housing/community-credit package that included CRA."
"Jimmy Carter","Housing / Banking / Civil Rights",172,"action","Remarks on Signing Into Law the Housing and Community Development Act of 1977","1977-10-12","https://www.presidency.ucsb.edu/documents/remarks-signing-into-law-the-housing-and-community-development-act-1977","high","direct_attach","Best direct source for Carter signing the act containing the Community Reinvestment Act."
"Jimmy Carter","Housing / Banking / Civil Rights",173,"action","Background & Purpose","n/a","https://www.ffiec.gov/cra/history","high","direct_attach","Best regulator source for ongoing CRA implementation and examination framework."
"Jimmy Carter","Housing / Banking / Civil Rights",75,"outcome","Background & Purpose","n/a","https://www.ffiec.gov/cra/history","high","direct_attach","Best single source for the durable federal CRA framework."
"John F. Kennedy","Civil Rights / Employment Access / Executive Enforcement",167,"action","Executive Order 10925—Establishing the President's Committee on Equal Employment Opportunity","1961-03-06","https://www.presidency.ucsb.edu/documents/executive-order-10925-establishing-the-presidents-committee-equal-employment-opportunity","high","direct_attach","Direct source for EO 10925."
"John F. Kennedy","Civil Rights / Employment Access / Executive Enforcement",168,"action","President’s Committee on Equal Employment Opportunity: Executive Order, 1961: 7 March-14 September, undated","1961","https://www.jfklibrary.org/asset-viewer/archives/jfkwhsfhw-008-003","high","direct_attach","Best archival file for the committee’s early federal enforcement and compliance work."
"John F. Kennedy","Civil Rights / Employment Access / Executive Enforcement",73,"outcome","Executive Order 10925—Establishing the President's Committee on Equal Employment Opportunity","1961-03-06","https://www.presidency.ucsb.edu/documents/executive-order-10925-establishing-the-presidents-committee-equal-employment-opportunity","high","direct_attach","Best single source for the contractor affirmative-action framework and committee creation."
"John F. Kennedy","Housing / Civil Rights / Executive Enforcement",169,"action","Executive Order 11063--Equal opportunity in housing","1962-11-20","https://www.archives.gov/federal-register/codification/executive-order/11063.html","high","direct_attach","Direct source for EO 11063."
"John F. Kennedy","Housing / Civil Rights / Executive Enforcement",170,"action","HU: 2-2 (Housing): Executive, 1962: 6 April-20 November","1962","https://www.jfklibrary.org/asset-viewer/archives/jfkwhcsf-0371-008","high","direct_attach","Best archival implementation file for agency follow-through on equal-opportunity housing rules."
"John F. Kennedy","Housing / Civil Rights / Executive Enforcement",74,"outcome","Executive Order 11063--Equal opportunity in housing","1962-11-20","https://www.archives.gov/federal-register/codification/executive-order/11063.html","high","direct_attach","Best single source for the pre-1968 federal fair-housing framework."
"Lyndon B. Johnson","Civil Rights / Anti-Discrimination",155,"action","Address Before a Joint Session of the Congress","1963-11-27","https://www.lbjlibrary.org/object/text/address-joint-session-congress-11-27-1963","high","direct_attach","Direct source for Johnson committing to carry forward the stalled civil-rights bill."
"Lyndon B. Johnson","Civil Rights / Anti-Discrimination",156,"action","Radio and Television Remarks Upon Signing the Civil Rights Bill","1964-07-02","https://www.presidency.ucsb.edu/documents/radio-and-television-remarks-upon-signing-the-civil-rights-bill","high","direct_attach","Direct source for Johnson signing the Civil Rights Act of 1964."
"Lyndon B. Johnson","Civil Rights / Anti-Discrimination",68,"outcome","Civil Rights Act (1964)","1964-07-02","https://www.archives.gov/milestone-documents/civil-rights-act","high","direct_attach","Best single source for the law’s anti-discrimination substance and enforcement structure."
"Lyndon B. Johnson","Civil Rights / Employment Access / Executive Enforcement",157,"action","Executive Order 11246","1965-09-24","https://www.archives.gov/federal-register/codification/executive-order/11246.html","high","direct_attach","Direct source for EO 11246."
"Lyndon B. Johnson","Civil Rights / Employment Access / Executive Enforcement",158,"action","Executive Order 11246","1965-09-24","https://www.archives.gov/federal-register/codification/executive-order/11246.html","medium","direct_attach","Best clean source available for the contractor compliance framework that agencies then implemented."
"Lyndon B. Johnson","Civil Rights / Employment Access / Executive Enforcement",69,"outcome","Executive Order 11246","1965-09-24","https://www.archives.gov/federal-register/codification/executive-order/11246.html","high","direct_attach","Best single source for the stronger executive federal-contracting framework."
"Lyndon B. Johnson","Courts / Civil Rights / Representation",134,"action","Remarks to the Press Announcing the Nomination of Thurgood Marshall as Associate Justice of the Supreme Court","1967-06-13","https://www.presidency.ucsb.edu/documents/remarks-the-press-announcing-the-nomination-thurgood-marshall-associate-justice-the","high","direct_attach","Direct source for Johnson nominating Marshall."
"Lyndon B. Johnson","Courts / Civil Rights / Representation",135,"action","Supreme Court Nominations (1789-Present)","n/a","https://www.senate.gov/legislative/nominations/SupremeCourtNominations1789present.htm","high","direct_attach","Direct Senate source for Marshall’s confirmation result and date."
"Lyndon B. Johnson","Courts / Civil Rights / Representation",58,"outcome","Supreme Court Nominations (1789-Present)","n/a","https://www.senate.gov/legislative/nominations/SupremeCourtNominations1789present.htm","high","direct_attach","Best single official source for the nomination-plus-confirmation result."
"Lyndon B. Johnson","Housing / Civil Rights",124,"action","Annual Message to the Congress on the State of the Union","1968-01-17","https://www.lbjlibrary.org/object/text/annual-message-congress-state-union-01-17-1968","high","direct_attach","Direct source for Johnson again urging Congress to act on fair housing."
"Lyndon B. Johnson","Housing / Civil Rights",125,"action","Remarks Upon Signing the Civil Rights Act, April 11, 1968","1968-04-11","https://www.lbjlibrary.org/object/text/remarks-upon-signing-civil-rights-act-04-11-1968","high","direct_attach","Direct source for signing the Fair Housing Act within the Civil Rights Act of 1968."
"Lyndon B. Johnson","Voting Rights / Civil Rights",122,"action","The American Promise Speech","1965-03-15","https://www.lbjlibrary.org/object/text/american-promise-speech","high","direct_attach","Direct source for Johnson urging Congress to pass voting-rights legislation after Selma."
"Lyndon B. Johnson","Voting Rights / Civil Rights",123,"action","Voting Rights Act (1965)","1965-08-06","https://www.archives.gov/milestone-documents/voting-rights-act","high","direct_attach","Best direct source for signing and enacted protections."
"Richard Nixon","Economic Policy / Labor / Employment Access",139,"action","December 20, 1969","1969-12-20","https://www.nixonlibrary.gov/research/almanac/december-20-1969","high","direct_attach","Best Nixon Library source for White House backing of the Philadelphia Plan."
"Richard Nixon","Economic Policy / Labor / Employment Access",140,"action","Revised Philadelphia Plan for Compliance with Equal Employment Opportunity Requirements of Executive Order 11246","1969-06-27","https://www.govinfo.gov/content/pkg/GPO-CRECB-1969-pt16/pdf/GPO-CRECB-1969-pt16-3-1.pdf","high","direct_attach","Best direct source for the revised Philadelphia Plan text and requirements."
"Richard Nixon","Economic Policy / Labor / Employment Access",60,"outcome","Nixon on the Home Front","2012","https://www.archives.gov/publications/prologue/2012/winter/nixon-homefront","high","direct_attach","Best archival overview for the policy outcome and effect of the Philadelphia Plan framework."
"Rutherford B. Hayes","Civil Rights / Federal Enforcement",179,"action","Inaugural Address","1877-03-05","https://www.presidency.ucsb.edu/documents/inaugural-address-38","high","direct_attach","Direct source for Hayes’s reconciliation and local-self-government posture."
"Rutherford B. Hayes","Civil Rights / Federal Enforcement",180,"action","Presidency","n/a","https://www.rbhayes.org/hayes/presidency/","high","direct_attach","Best source here for withdrawal of military support from the remaining Republican governments."
"Rutherford B. Hayes","Civil Rights / Federal Enforcement",181,"action","Presidency","n/a","https://www.rbhayes.org/hayes/presidency/","medium","direct_attach","Useful for the continued reduced Reconstruction-enforcement posture after withdrawal."
"Rutherford B. Hayes","Civil Rights / Federal Enforcement",79,"outcome","Presidency","n/a","https://www.rbhayes.org/hayes/presidency/","high","direct_attach","Best single source for the withdrawal-and-no-comparable-replacement outcome."
"Ulysses S. Grant","Civil Rights / Federal Enforcement",182,"action","United States v. Cruikshank et al., 92 U.S. 542 (1876)","1876-03-27","https://www.govinfo.gov/app/details/USREPORTS-92/USREPORTS-92-542","high","direct_attach","Direct source for Cruikshank."
"Ulysses S. Grant","Civil Rights / Federal Enforcement",183,"action","Laws and Court Cases","n/a","https://www.archives.gov/research/african-americans/vote/laws-and-courts","high","direct_attach","Best concise National Archives explanation of Cruikshank’s impact on federal protection against racial violence and suppression."
"Ulysses S. Grant","Civil Rights / Federal Enforcement",184,"action","Laws and Court Cases","n/a","https://www.archives.gov/research/african-americans/vote/laws-and-courts","medium","direct_attach","Best official source available for the late-Reconstruction enforcement limits claim."
"Ulysses S. Grant","Civil Rights / Federal Enforcement",80,"outcome","Laws and Court Cases","n/a","https://www.archives.gov/research/african-americans/vote/laws-and-courts","high","direct_attach","Best single outcome source for narrowed federal reach after Cruikshank."
"Ulysses S. Grant","Civil Rights / Reconstruction / Anti-Discrimination",149,"action","Civil rights in Alabama. Message from the President of the United States, transmitting a memorial of a convention of colored citizens assembled in the City of Montgomery, Ala., on December 2, 1874","1874-12-22","https://www.loc.gov/item/2024883699/","medium","provisional","Best candidate I found for Grant urging Congress on late-Reconstruction civil-rights protections; fit is not perfectly specific to public accommodations."
"Ulysses S. Grant","Civil Rights / Reconstruction / Anti-Discrimination",150,"action","March 1, 1875. CHAP. 114.—An act to protect all citizens in their civil and legal rights","1875-03-01","https://www.loc.gov/static/classroom-materials/jim-crow-segregation/documents/civilrightsact.pdf","high","direct_attach","Direct source for the Civil Rights Act of 1875."
"Ulysses S. Grant","Civil Rights / Reconstruction / Anti-Discrimination",65,"outcome","Legal Timeline - The Civil Rights Act of 1964: A Long Struggle for Freedom","n/a","https://www.loc.gov/exhibits/civil-rights-act/legal-events-timeline.html","high","direct_attach","Best single source for both the 1875 protection and later judicial rollback."
